id,New-Identifiers-words-AVG,New-Identifiers-words-MIN,New-Abstractness-words-AVG,New-Abstractness-words-MAX,New-Abstractness-words-MIN,New-Commented-words-AVG,New-Commented-words-MAX,New-Synonym-commented-words-AVG,New-Synonym-commented-words-MAX,New-Comments-readability,New-Number-of-senses-AVG,New-Number-of-senses-MAX,New-Semantic-Text-Coherence-Standard-@-0.1,New-Semantic-Text-Coherence-Normalized-@-0.3,New-Text-Coherence-AVG,New-Text-Coherence-MIN,New-Text-Coherence-MAX,BW-Avg-Assignment,BW-Avg-blank-lines,BW-Avg-commas,BW-Avg-comments,BW-Avg-comparisons,BW-Avg-Identifiers-Length,BW-Avg-conditionals,BW-Avg-indentation-length,BW-Avg-keywords,BW-Avg-line-length,BW-Avg-loops,BW-Avg-number-of-identifiers,BW-Avg-numbers,BW-Avg-operators,BW-Avg-parenthesis,BW-Avg-periods,BW-Avg-spaces,BW-Max-Identifiers-Length,BW-Max-indentation,BW-Max-keywords,BW-Max-line-length,BW-Max-number-of-identifiers,BW-Max-numbers,BW-Max-char,BW-Max-words,Posnett-entropy,Posnett-volume,Posnett-lines,Dorn-DFT-Assignments,Dorn-DFT-Commas,Dorn-DFT-Comments,Dorn-DFT-Comparisons,Dorn-DFT-Conditionals,Dorn-DFT-Indentations,Dorn-DFT-Keywords,Dorn-DFT-LineLengths,Dorn-DFT-Loops,Dorn-DFT-Identifiers,Dorn-DFT-Numbers,Dorn-DFT-Operators,Dorn-DFT-Parenthesis,Dorn-DFT-Periods,Dorn-DFT-Spaces,Dorn-Visual-X-Comments,Dorn-Visual-Y-Comments,Dorn-Visual-X-Identifiers,Dorn-Visual-Y-Identifiers,Dorn-Visual-X-Keywords,Dorn-Visual-Y-Keywords,Dorn-Visual-X-Numbers,Dorn-Visual-Y-Numbers,Dorn-Visual-X-Strings,Dorn-Visual-Y-Strings,Dorn-Visual-X-Literals,Dorn-Visual-Y-Literals,Dorn-Visual-X-Operators,Dorn-Visual-Y-Operators,Dorn-Areas-Comments,Dorn-Areas-Identifiers,Dorn-Areas-Keywords,Dorn-Areas-Numbers,Dorn-Areas-Strings,Dorn-Areas-Literals,Dorn-Areas-Operators,Dorn-Areas-Identifiers/Comments,Dorn-Areas-Keywords/Comments,Dorn-Areas-Numbers/Comments,Dorn-Areas-Strings/Comments,Dorn-Areas-Literals/Comments,Dorn-Areas-Operators/Comments,Dorn-Areas-Keywords/Identifiers,Dorn-Areas-Numbers/Identifiers,Dorn-Areas-Strings/Identifiers,Dorn-Areas-Literals/Identifiers,Dorn-Areas-Operators/Identifiers,Dorn-Areas-Numbers/Keywords,Dorn-Areas-Strings/Keywords,Dorn-Areas-Literals/Keywords,Dorn-Areas-Operators/Keywords,Dorn-Areas-Strings/Numbers,Dorn-Areas-Literals/Numbers,Dorn-Areas-Operators/Numbers,Dorn-Areas-Literals/Strings,Dorn-Areas-Operators/Strings,Dorn-Areas-Operators/Literals,Dorn-align-blocks,Dorn-align-extent,Readable
Buse11,0.823529,0,4.642857,8,0,0,0,0.952381,2,0,7.235294,21,5,1,0,0,0,0.142857,0.285714,0,0.166667,0.142857,6.416667,0.2,0,0.8,25.6,0,2.6,0,0.285714,0.285714,0,3.6,22,0,2,46,7,0,18,4,4.525046,98.099108,7,7,1,8,7,7,6,7,7,1,7,1,7,7,1,7,0,0,49.875,6.784314,49.875,6.666667,0,0,50,7,0,0,49.5,6.764706,0,0.375887,0.113475,0,0.241135,0,0.085106,0,0,0,0,0,0,0.301887,0,0.641509,0,0.226415,0,2.125,0,0.75,0,0,0,0,0.352941,0,2,2,3.64
Buse12,0.888889,0,4.3125,10,0,0,0,0.526316,2,0,10.333333,45,3,1,0,1,0,0,0.285714,0.142857,0.166667,0,7,0,8,0,26.8,0,2.2,0,0,0.571429,0.8,5,16,8,0,47,5,0,41,3,4.122512,102.798583,7,1,7,5,1,1,6,1,5,1,6,1,1,7,6,5,0,0,46.75,6.791667,0,0,0,0,0,0,0,0,47,6.833333,0,0.652542,0,0,0,0,0.135593,0,0,0,0,0,0,0,0,0,0,0.207792,0,0,0,0,0,0,0,0,0,0,0,0,3.54
Buse13,0.918919,0,3.147059,8,0,0.027027,1,4.8125,14,0,7.297297,31,7,1,0,1,0,0.2,0,0.3,0.090909,0.4,6.382353,0.3,0.3,1.1,36.8,0,3.5,0,0.2,0.7,0,5,12,1,4,81,7,0,50,6,4.656578,398.507135,10,10,10,11,10,10,1,10,7,1,7,1,10,10,1,9,0,0,82,9.795181,82,9.746988,0,0,82,10,0,0,81.818182,9.771084,0,0.560724,0.149871,0,0.005168,0,0.105943,0,0,0,0,0,0,0.267281,0,0.009217,0,0.18894,0,0.034483,0,0.706897,0,0,0,0,20.5,0,10,11,3.04
Buse14,0.952381,0,4.3,10,0,0.190476,1,2.076923,5,100,8.666667,17,5,1,0.620174,1,0.620174,0.1,0.363636,0,0.142857,0.1,6.470588,0.166667,10,0.666667,37.166667,0,2.833333,0,0,0.6,0.5,12.333333,13,24,1,63,5,0,77,3,4.290981,183.3985,11,10,1,9,10,10,10,9,10,1,9,1,1,9,10,8,57,11,57,10.775862,56.833333,10.741379,0,0,0,0,0,0,57,10.844828,0.093496,0.447154,0.077236,0,0,0,0.081301,4.782609,0.826087,0,0,0,0.869565,0.172727,0,0,0,0.181818,0,0,0,1.052632,0,0,0,0,0,0,0,0,4.05
Buse15,0.911111,0,6,10,0,0.066667,1,1.346939,6,0,11.555556,45,4,1,0,1,0,0.4,0.2,0.8,0.2,0,7.961538,0,10,0.75,80.75,0,6,0.75,0.4,2.4,2.25,13.75,19,16,2,98,7,6,55,6,4.55271,347.832539,5,5,5,6,1,1,5,5,1,1,1,5,5,5,1,5,0,0,98,4.747475,98,4.808081,98,5,0,0,0,0,98,4.838384,0,0.643963,0.027864,0.018576,0,0,0.139319,0,0,0,0,0,0,0.043269,0.028846,0,0,0.216346,0.666667,0,0,5,0,0,7.5,0,0,0,9,9,1.83
Buse16,0.88,0,4.772727,11,0,0,0,0.214286,2,0,7.48,45,4,1,0,0,0,0.6,0.2,0,0.2,0.2,11,0.25,0,0.75,40.75,0,2.75,0,0,0.8,0.75,3.5,18,0,1,65,4,0,16,3,4.693462,124,5,4,1,6,5,5,1,4,4,1,4,1,1,5,4,5,0,0,67,4.764706,66.666667,4.691176,0,0,0,0,0,0,67,4.735294,0,0.703488,0.05814,0,0,0,0.104651,0,0,0,0,0,0,0.082645,0,0,0,0.14876,0,0,0,1.8,0,0,0,0,0,0,1,1,2.9
Buse17,0.652174,0,6.210526,10,2,0.043478,1,0.892857,4,0,5.608696,17,4,1,0,0,0,0.571429,0.142857,0,0.142857,0.428571,6.4375,0,8.666667,0.666667,35.666667,0.166667,2.666667,0.166667,0.285714,0.857143,0.166667,9.333333,18,12,2,61,5,1,72,4,4.082299,206.323313,7,5,1,7,7,1,1,6,5,7,7,7,7,7,7,7,0,0,61,6.887097,61,6.887097,61,7,0,0,0,0,61,6.887097,0,0.520202,0.060606,0.005051,0,0,0.131313,0,0,0,0,0,0,0.116505,0.009709,0,0,0.252427,0.083333,0,0,2.166667,0,0,26,0,0,0,0,0,3.74
Buse18,0.851852,0,4.458333,8,0,0.037037,1,2.266667,6,100,8.666667,57,4,1,0,1,0,0.4,0,0,0.375,2.4,5.954545,0,0,0.6,39.4,0,4.2,0,0.2,1.2,1.2,2.8,14,0,1,55,7,0,25,4,4.926039,281.762898,7,5,1,8,5,1,1,4,1,1,1,1,5,5,5,1,57,6.896552,56.875,6.810345,56.75,6.87931,0,0,57,6.87931,0,0,57,6.844828,0.187251,0.474104,0.047809,0,0.063745,0,0.14741,2.531915,0.255319,0,0.340426,0,0.787234,0.10084,0,0.134454,0,0.310924,0,1.333333,0,3.083333,0,0,0,0,2.3125,0,10,14,2.47
Buse19,0.846154,0,5.545455,9,0,0.115385,1,0.84375,3,100,6.461538,15,5,1,0,1,0,0.428571,0.111111,0.714286,0.333333,0,7.176471,0,7.833333,1,43,0,2.666667,0,0,0.428571,0,16,14,15,3,76,7,0,109,6,3.903356,197.153388,9,7,7,10,1,1,5,7,8,1,7,1,1,7,1,5,76,8.909091,75.7,8.896104,75.7,8.779221,0,0,0,0,0,0,75.6,8.857143,0.151815,0.40264,0.059406,0,0,0,0.069307,2.652174,0.391304,0,0,0,0.456522,0.147541,0,0,0,0.172131,0,0,0,1.166667,0,0,0,0,0,0,13,17,3.55
Buse20,1,1,2.473684,5,0,0,0,0.347826,2,0,6.894737,18,3,1,0,0,0,0.5,0,0.5,0.2,0,7.909091,0,8,0.75,38.5,0,2.75,0,0,0.5,0,8.5,15,8,2,71,5,0,42,5,4.091349,112.587975,4,4,4,4,1,1,1,4,3,1,4,1,1,3,1,4,0,0,71,3.819444,71,3.930556,0,0,71,4,0,0,71,3.805556,0,0.561644,0.068493,0,0.047945,0,0.089041,0,0,0,0,0,0,0.121951,0,0.085366,0,0.158537,0,0.7,0,1.3,0,0,0,0,1.857143,0,3,3,3.26
Buse21,0.8,0,5.375,9,0,0,0,0.923077,4,0,10.3,29,4,1,0,0,0,0.2,0,0,0.166667,0,6.75,0.2,0,0.6,16.8,0,1.6,0,0,0.6,0,2.2,11,0,2,38,2,0,12,3,4.520408,78.137812,5,5,1,6,1,5,1,5,4,1,1,1,1,5,1,4,0,0,40,4.731707,40,4.853659,0,0,0,0,0,0,40,4.804878,0,0.5625,0.09375,0,0,0,0.09375,0,0,0,0,0,0,0.166667,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,7,7,3.73
Buse22,0.675,0,5.176471,10,0,0.2,1,1.261905,8,100,7.05,45,4,1,0,1,0,0.2,0,0.8,0.444444,0,7.863636,0,5.2,0.4,49.2,0,4.2,0.8,0,1.2,1.4,6.6,19,6,1,99,12,4,53,9,4.747894,221.654536,8,5,5,9,1,1,1,5,8,1,5,1,1,4,5,1,99,7.88,99,7.88,99,7.92,0,0,0,0,0,0,98.777778,7.64,0.204545,0.574675,0.029221,0,0,0,0.084416,2.809524,0.142857,0,0,0,0.412698,0.050847,0,0,0,0.146893,0,0,0,2.888889,0,0,0,0,0,0,23,31,2.74
Buse23,0.882353,0,3.133333,8,0,0.058824,1,2.175,7,0,12.088235,37,4,0.8,0,1,0,0,0,0,0.125,0.285714,7.521739,0.285714,0,0.857143,39.428571,0,3,0.285714,0.571429,1.714286,0.857143,3.428571,15,0,2,77,7,1,32,4,4.602169,298.022563,7,1,1,8,7,7,1,5,5,1,7,7,7,6,5,6,0,0,80,6.740741,80,6.62963,80,7,79.25,6.888889,0,0,79.75,6.728395,0,0.486301,0.092466,0.003425,0.164384,0,0.136986,0,0,0,0,0,0,0.190141,0.007042,0.338028,0,0.28169,0.037037,1.777778,0,1.481481,48,0,40,0,0.833333,0,2,2,3.93
Buse24,0.678571,0,6.571429,12,0,0,0,0.114286,2,0,7.964286,45,5,1,0.963624,1,0.963624,0,0.285714,0.142857,0.166667,0,11.6,0,9.6,1.2,45.4,0,2,0,0,1,0,11.4,17,12,4,51,3,0,57,4,4.234467,128,7,1,7,8,1,1,6,7,6,1,6,1,1,6,1,6,0,0,51,6.826923,51,6.788462,0,0,0,0,0,0,51,6.75,0,0.511013,0.167401,0,0,0,0.070485,0,0,0,0,0,0,0.327586,0,0,0,0.137931,0,0,0,0.421053,0,0,0,0,0,0,4,4,3.48
Buse25,0.765957,0,4.565217,12,0,0,0,1.490566,6,0,13.893617,38,6,1,0.866025,1,0.866025,0.571429,0.142857,0.285714,0.142857,0.428571,6,0.166667,18.666667,0.833333,72.166667,0,5.666667,0,0.428571,2.571429,2,24,13,24,2,107,9,0,144,6,4.01654,511.822575,7,7,7,8,7,7,1,7,1,1,1,1,7,6,7,1,0,0,107,6.768519,107,6.861111,0,0,107,7,0,0,106.875,6.740741,0,0.457275,0.048499,0,0.016166,0,0.147806,0,0,0,0,0,0,0.106061,0,0.035354,0,0.323232,0,0.333333,0,3.047619,0,0,0,0,9.142857,0,8,8,2.1
Buse26,0.272727,0,6.666667,10,4,0.242424,1,5.277778,8,0,1.818182,10,4,0.6,0,0,0,0.125,0.125,1.375,0.125,0.125,4.030303,0.142857,13.857143,0.285714,46.428571,0,4.428571,1.285714,1.375,0.875,0.428571,19,9,58,1,76,9,3,133,8,3.758274,341.432319,8,8,7,9,8,8,8,8,7,1,7,8,8,7,6,8,0,0,75.888889,7.597403,76,7.961039,76,7.844156,0,0,0,0,75.888889,7.649351,0,0.427692,0.018462,0.009231,0,0,0.135385,0,0,0,0,0,0,0.043165,0.021583,0,0,0.316547,0.5,0,0,7.333333,0,0,14.666667,0,0,0,0,0,2.39
Buse27,0.75,0,5.391304,10,0,0.071429,1,2.193548,8,100,10.821429,40,4,1,0,1,0,0.6,0,0,0.375,0,6.428571,0,6.4,0.6,46.2,0,3.8,0.4,0.8,1.2,1.2,10.6,24,8,1,71,5,1,71,3,4.410114,230.70166,7,5,1,8,1,1,1,4,1,1,1,5,5,5,5,1,71,6.916667,70.875,6.805556,71,6.930556,0,0,0,0,0,0,70.75,6.805556,0.228188,0.459732,0.043624,0,0,0,0.090604,2.014706,0.191176,0,0,0,0.397059,0.094891,0,0,0,0.19708,0,0,0,2.076923,0,0,0,0,0,0,15,17,3.75
Buse28,0.741935,0,4.25,10,0,0,0,2.540541,7,0,8.225806,57,6,1,0.849837,1,0.849837,0.285714,0,0,0.125,0.285714,6.958333,0.142857,0,0.857143,34.857143,0.142857,3.428571,0,0,1.714286,1,2,22,0,3,67,7,0,28,4,4.63438,330.342708,7,7,1,8,7,7,1,7,7,7,7,1,1,7,7,7,0,0,69,6.814286,68.875,6.885714,0,0,0,0,0,0,68.875,6.8,0,0.632576,0.094697,0,0,0,0.143939,0,0,0,0,0,0,0.149701,0,0,0,0.227545,0,0,0,1.52,0,0,0,0,0,0,5,5,2.87
Buse29,0.857143,0,5.333333,9,0,0,0,0.555556,2,0,11.428571,29,3,1,0,0,0,0.5,0.25,0,0.25,0,8.4,0,8,0.333333,29.333333,0,1.666667,0.333333,0,0,0.333333,10.666667,14,8,1,35,3,1,32,2,3.651401,43.185065,4,4,1,4,1,1,1,4,3,1,4,4,1,1,4,3,0,0,35,3.666667,35,4,35,4,0,0,0,0,35,3.75,0,0.477273,0.079545,0.011364,0,0,0.068182,0,0,0,0,0,0,0.166667,0.02381,0,0,0.142857,0.142857,0,0,0.857143,0,0,6,0,0,0,3,3,3.94
Buse30,0.906977,0,3.846154,10,0,0.372093,1,0.956522,4,100,11.837209,45,5,1,0,1,0,0.5,0,0,0.454545,0.166667,9.380952,0.166667,7.333333,0.5,49.833333,0,3.333333,0,0,1.666667,1,9.666667,19,12,2,124,8,0,105,9,4.526473,239.748784,10,6,1,11,6,6,1,5,9,1,6,1,1,6,6,1,124,9.896,124,9.864,124,9.928,0,0,0,0,0,0,124,9.824,0.386831,0.40535,0.024691,0,0,0,0.063786,1.047872,0.06383,0,0,0,0.164894,0.060914,0,0,0,0.15736,0,0,0,2.583333,0,0,0,0,0,0,28,33,2.79
Buse31,0.878049,0,4.055556,10,0,0,0,0.408163,4,0,5.853659,37,7,0.714286,0,0,0,0,0.3,0,0.125,0,10.6,0.285714,0,1.142857,43.285714,0,3,0,0.1,1.1,0.571429,2.142857,24,0,2,64,8,0,41,5,4.560044,229.388086,10,1,1,9,1,10,1,8,8,1,8,1,10,9,9,10,0,0,68,9.710145,68,9.536232,0,0,68,10,0,0,67.818182,9.797101,0,0.56231,0.133739,0,0.103343,0,0.091185,0,0,0,0,0,0,0.237838,0,0.183784,0,0.162162,0,0.772727,0,0.681818,0,0,0,0,0.882353,0,12,12,3.26
Buse32,0.727273,0,4.857143,6,0,0.136364,2,3.869565,8,100,7.590909,37,4,1,0,1,0,0.6,0,0,0.375,0,6.25,0,3.2,0.2,31.2,0,3,0.2,0.2,1,1,5.4,11,4,1,48,5,1,43,7,4.611328,158.45715,7,5,1,8,1,1,1,5,5,1,5,5,5,4,5,1,8.625,6.928571,68.875,6.728571,69,6.9,0,0,0,0,0,0,68.875,6.7,0.337607,0.431624,0.025641,0,0,0,0.089744,1.278481,0.075949,0,0,0,0.265823,0.059406,0,0,0,0.207921,0,0,0,3.5,0,0,0,0,0,0,3,4,4.22
Buse33,0.75,0,4.944444,9,0,1.4,3,3.090909,10,100,4.7,17,4,1,0,1,0,0.6,0,0.4,0.545455,0,8.846154,0,0,0.4,29.2,0,2.4,0,0,0.4,0,2,19,0,2,79,6,0,46,5,4.638531,100,10,5,5,11,1,1,1,5,9,1,5,1,1,5,1,5,114.818182,9.939655,115,9.87069,115,10,0,0,0,0,0,0,114.909091,9.844828,0.621103,0.275779,0.021583,0,0,0,0.026379,0.444015,0.034749,0,0,0,0.042471,0.078261,0,0,0,0.095652,0,0,0,1.222222,0,0,0,0,0,0,17,22,4.02
Buse34,0.904762,0,4.631579,9,2,0,0,0.607143,3,0,9.47619,41,6,1,0,1,0,0,0.333333,0,0.142857,0,10.916667,0,14,1,44.833333,0,2,0,0,0.333333,0.5,15.5,22,16,1,50,2,0,93,6,3.778576,128.92739,9,1,1,8,1,1,7,7,7,1,7,1,1,7,7,7,0,0,49.9,8.176471,49.9,6.823529,0,0,0,0,0,0,49.8,8.137255,0,0.486989,0.111524,0,0,0,0.055762,0,0,0,0,0,0,0.229008,0,0,0,0.114504,0,0,0,0.5,0,0,0,0,0,0,10,10,4.35
Buse35,0.924242,0,5.241935,9,0,0.136364,1,1.19403,5,100,10.106061,37,5,0.8,0,1,0,0,0,1,0.416667,0,10.785714,0,9.142857,0.142857,61.142857,0,3.571429,0.571429,0,1.428571,1.285714,10.428571,22,16,1,119,8,2,107,6,4.963687,293.4376,11,1,7,12,1,1,1,7,11,1,7,6,1,7,7,1,119,10.866667,118.916667,10.766667,119,10.816667,118.833333,10.775,119,10.908333,119,11,118.833333,10.808333,0.250877,0.514035,0.008772,0.003509,0.024561,0.005263,0.064912,2.048951,0.034965,0.013986,0.097902,0.020979,0.258741,0.017065,0.006826,0.047782,0.010239,0.12628,0.4,2.8,0.6,7.4,7,1.5,18.5,0.214286,2.642857,12.333333,7,10,2.01
